Support Name, Line Number, Support Room, Room Description, Level, Support Type, Support Data Sheet, Data Page, Wrap, Approved, Fire Rating, Building, Designer
/1HFA19SV0063,/1DVF3506GL-,/1HFA1906ZL-,Instrumentation Room, 19, Support Type 7 - Fire Damper Wall Support 2,45062_MWG_DR_00080_40008_Support_Type_7,2,Yes,Yes, No, 1HF Building, D. Rothwell
/1HFA19SV0030,/1DVF3506GL-,/1HFA1906ZL-,Instrumentation Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, D. Rothwell
/1HFA19SV0032,/1DVF3506GL-,/1HFA1906ZL-,Instrumentation Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, D. Rothwell
/1HFA19SV0072,/1DVF3512GL-,/1HFA1903ZL-,HVAC Room, 19, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,Yes,Yes, No, 1HF Building, D. Rothwell
/1HFA19SV0071,/1DVF3515GL-,/1HFA1903ZL-,HVAC Room, 19, Support Type 6 - Vertical Duct Floor Support,45062_MWG_DR_00080_70001_Support_Type_6,2,No,Yes, No, 1HF Building, D. Rothwell
/1HFA19SV0070,/1DVF3515GL-,/1HFA1903ZL-,HVAC Room, 19, Support Type 6 - Horizontal Duct Floor Support,45062_MWG_DR_00080_70001_Support_Type_6,1,No,Yes, No, 1HF Building, D. Rothwell
/1HFB0ASV0013,/1DVF4102GL-,/1HFB0A01ZL-,Firefighting Lobby, 0A, Support Type 7 - Fire Damper Wall Support 2,45062_MWG_DR_00080_40008_Support_Type_7,2,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB0ASV0034,/1DVF4104GL-,/1HGU0A01ZL-,Unit 1: Connection between HGU and HFB, 0A, Support Type 7 - Fire Damper Ceiling Support,45062_MWG_DR_00080_40008_Support_Type_7,6,No,Yes, No, 1HGU Gallery, S. Pinnock
/1HFB0ASV0015,/1DVF4106GL-,/1HFB0A03ZL-,Cable Deck  Interface with 1HGU and 1HGK, 0A, Support Type 7 - Fire Damper Wall Support 3,45062_MWG_DR_00080_40008_Support_Type_7,3,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB04SV0063,/1DVF4201GL-,/1HFB0404ZL-,Cable deck, 04,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB04SV0062,/1DVF4201GL-,/1HFB0404ZL-,Cable deck, 04,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB04SV0061,/1DVF4201GL-,/1HFB0404ZL-,Cable deck, 04,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB04SV0064,/1DVF4201GL-,/1HFB0404ZL-,Cable deck, 04,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB04SV0001,/1DVF4201GL-,/1HFB0405ZL-,Cable deck  Battery Room Roof, 04,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB04SV0060,/1DVF4201GL-,/1HFB0405ZL-,Cable deck  Battery Room Roof, 04,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB04SV0002,/1DVF4201GL-,/1HFB0405ZL-,Cable deck  Battery Room Roof, 04,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB04SV0003,/1DVF4201GL-,/1HFB0405ZL-,Cable deck  Battery Room Roof, 04, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB04SV0044,/1DVF4207GL-,/1HFB0401ZL-,Firefighting Lobby, 04, Support Type 7 - Fire Damper Wall Support 2,45062_MWG_DR_00080_40008_Support_Type_7,2,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0101,/1DVF4301GL-,/1HFB1005ZL-,Backup Switchgear Room, 10, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0026,/1DVF4301GL-,/1HFB1005ZL-,Backup Switchgear Room, 10, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0056,/1DVF4310GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 7 - Fire Damper Wall Support 1,45062_MWG_DR_00080_40008_Support_Type_7,1,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0027,/1DVF4310GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0102,/1DVF4310GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0029,/1DVF4310GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0030,/1DVF4310GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0028,/1DVF4310GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0031,/1DVF4310GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0032,/1DVF4313GL-,/1HFB1005ZL-,Backup Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0034,/1DVF4313GL-,/1HFB1005ZL-,Backup Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0033,/1DVF4313GL-,/1HFB1005ZL-,Backup Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0039,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0040,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0038,/1DVF4321GL-,/1HFB1005ZL-,Backup Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0036,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0037,/1DVF4321GL-,/1HFB1005ZL-,Backup Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0035,/1DVF4321GL-,/1HFB1005ZL-,Backup Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0081,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0083,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0082,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0080,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0042,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0084,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0085,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0041,/1DVF4321GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0089,/1DVF4323GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0088,/1DVF4323GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0086,/1DVF4323GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0087,/1DVF4323GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0091,/1DVF4325GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0090,/1DVF4325GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0094,/1DVF4327GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0104,/1DVF4327GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0093,/1DVF4327GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
