Plate Reference, East(X), North (Y), Height (Z), Support Name, Room, Level, Support Type, Dtata Sheet, Page, Fire Rated, Designer
/1HFA10SV0080/2, 552000.00, 170000.00, 4310.00, /1HFA10SV0080, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0081/1, 550850.00, 171225.00, 4310.00, /1HFA10SV0081, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0081/2, 552000.00, 171225.00, 4310.00, /1HFA10SV0081, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0042/1, 550850.00, 173000.00, 4310.00, /1HFA10SV0042, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0042/2, 552000.00, 173000.00, 4310.00, /1HFA10SV0042, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0082/1, 550850.00, 174500.00, 4310.00, /1HFA10SV0082, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0082/2, 552000.00, 174500.00, 4310.00, /1HFA10SV0082, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0041/1, 550875.00, 175650.00, 4310.00, /1HFA10SV0041, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0041/2, 551975.00, 175650.00, 4310.00, /1HFA10SV0041, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0050/1, 552925.00, 173390.00, 4310.00, /1HFA10SV0050, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0050/2, 553575.00, 173390.00, 4310.00, /1HFA10SV0050, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0083/1, 552925.00, 174635.00, 4310.00, /1HFA10SV0083, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0083/2, 553575.00, 174635.00, 4310.00, /1HFA10SV0083, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0049/1, 552925.00, 176300.00, 4310.00, /1HFA10SV0049, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0049/2, 553575.00, 176300.00, 4310.00, /1HFA10SV0049, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
