Plate Name, Support Name, Plate Length, Plate Width, Plate Thickness, Line Number, Support Room, Room Description, Level, Support Type, Data Sheet, Sheet, Designer
/1HFA04SV0008/2, /1HFA04SV0008, 150, 300, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0044/1, /1HFA04SV0044, 300, 150, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0044/2, /1HFA04SV0044, 300, 150, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0009/1, /1HFA04SV0009, 150, 300, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0009/2, /1HFA04SV0009, 150, 300, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0010/1, /1HFA04SV0010, 150, 300, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0010/2, /1HFA04SV0010, 150, 300, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0045/1, /1HFA04SV0045, 300, 150, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0045/2, /1HFA04SV0045, 300, 150, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0050/1, /1HFA04SV0050, 150, 300, 10, /1DVF1211GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0050/2, /1HFA04SV0050, 150, 300, 10, /1DVF1211GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0051/1, /1HFA04SV0051, 300, 150, 10, /1DVF1211GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0051/2, /1HFA04SV0051, 300, 150, 10, /1DVF1211GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0040/1, /1HFA04SV0040, 250, 300, 15, /1DVF1211GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, D. Rothwell
/1HFA04SV0040/2, /1HFA04SV0040, 250, 300, 15, /1DVF1211GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, D. Rothwell
/1HFA04SV0007/1, /1HFA04SV0007, 300, 150, 10, /1DVF1217GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0007/2, /1HFA04SV0007, 300, 150, 10, /1DVF1217GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0006/1, /1HFA04SV0006, 300, 150, 10, /1DVF1217GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
