Support Name, Line Number,Support Type, Support Data Sheet, Data Page,Room, Level, Wrap, Fire Rating, AFC, Approved, A, B, C, D, E, F
/1HFB10SV0015, /1DVF2313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1005ZL-, 10, No, No, No, Yes, 300, 200, 785, 350, 970, 450
/1HFB10SV0014, /1DVF2313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1005ZL-, 10, No, No, No, Yes, 300, 200, 785, 350, 970, 450
/1HFB10SV0018, /1DVF2314GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1005ZL-, 10, No, No, No, Yes, 200, 200, 785, 250, 970, 300
/1HFB10SV0019, /1DVF2319GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 500, 200, 785, 550, 970, 650
/1HFB10SV0020, /1DVF2319GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 500, 200, 785, 550, 970, 650
/1HFB10SV0022, /1DVF2319GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 500, 200, 785, 550, 970, 650
/1HFB10SV0023, /1DVF2319GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 500, 200, 785, 550, 970, 650
/1HFB10SV0024, /1DVF2319GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 300, 200, 445, 350, 630, 450
/1HFB10SV0021, /1DVF2319GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 200, 150, 585, 250, 720, 524
/1HFB10SV0025, /1DVF2321GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1001ZL-, 10, No, No, No, Yes, 150, 100, 650, 200, 735, 200
