Ref. No., Name, Type, Part No., Line Number, Detailed Desc., Inlet L., Inlet W., Outlet L., Outlet W., Length, Insulation, Level, Room, Room Description, Building, Penetration Reference, Material, Fire Rating, Approved for Cons/Fab
20442/5108,NA, STRT, 5, /1DVF4102GL-, Rectangular Straight, 150, 150, 150, 150, 650, 90, 0A, /1HFB0A01ZL- /1HFB0A03ZL-, Firefighting Lobby, 1HF Building, /1HFB0A07VBTV003, Stainless Steel 304L, No, Yes
20442/5108,NA, SKIR, 5, /1DVF4102GL-, Penetration Spool Plate, 150, 150, 700, 700, 6, 0, 0A, /1HFB0A01ZL-, Firefighting Lobby, 1HF Building, /1HFB0A07VBTV003, Stainless Steel 304L, No, Yes
20442/65064,NA, GASK, 6, /1DVF4102GL-, Rectangular Gasket, 150, 150, 150, 150, 3, 0, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, NA, NA, No, No
20442/5109,/1DVF4102BW-, MESH, 7, /1DVF4102GL-, Supply Air Grille - Mesh, 150, 150, 150, 150, 10, 0, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, NA, Stainless Steel 304L, No, No
28634/645,/1DVF4104BH-, MESH, 1, /1DVF4104GL-, Extract Air Grille - Mesh, 250, 200, 250, 200, 10, 0, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, NA, Stainless Steel 304L, No, No
20442/61058,NA, GASK, 2, /1DVF4104GL-, Rectangular Gasket, 250, 200, 250, 200, 3, 0, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, NA, NA, No, No
20442/5113,NA, STRT, 3, /1DVF4104GL-, Rectangular Straight, 250, 200, 250, 200, 650, 90, 0A, /1HFB0A03ZL- /1HGU0A01ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, /1HFB0A07VBTV001, Stainless Steel 304L, No, Yes
20442/5113,NA, SKIR, 3, /1DVF4104GL-, Penetration Spool Plate, 250, 200, 800, 670, 6, 0, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, /1HFB0A07VBTV001, Stainless Steel 304L, No, Yes
20442/61057,NA, GASK, 4, /1DVF4104GL-, Rectangular Gasket, 250, 200, 250, 200, 3, 0, 0A, /1HGU0A01ZL-, Unit 1: Connection between HGU and HFB, 1HGU Gallery, NA, NA, No, No
20442/5112,/1DVF4103RA-, DAMP, 5, /1DVF4104GL-, Fire Damper, 250, 200, 250, 200, 300, 90, 0A, /1HGU0A01ZL-, Unit 1: Connection between HGU and HFB, 1HGU Gallery, NA, Stainless Steel 304L, No, No
20442/65074,NA, GASK, 6, /1DVF4104GL-, Rectangular Gasket, 250, 200, 250, 200, 3, 0, 0A, /1HGU0A01ZL-, Unit 1: Connection between HGU and HFB, 1HGU Gallery, NA, NA, No, No
20442/68195,NA, STRT, 7, /1DVF4104GL-, Rectangular Straight, 250, 200, 250, 200, 75, 90, 0A, /1HGU0A01ZL-, Unit 1: Connection between HGU and HFB, 1HGU Gallery, NA, Stainless Steel 304L, No, Yes
20442/68196,NA, GASK, 8, /1DVF4104GL-, Rectangular Gasket, 250, 200, 250, 200, 3, 0, 0A, /1HGU0A01ZL-, Unit 1: Connection between HGU and HFB, 1HGU Gallery, NA, NA, No, No
20442/5114,/1DVF4104BW-, MESH, 9, /1DVF4104GL-, Supply Air Grille - Double Deflection with Damper, 250, 200, 250, 200, 10, 0, 0A, /1HGU0A01ZL-, Unit 1: Connection between HGU and HFB, 1HGU Gallery, NA, Extruded Aluminium, No, No
28634/640,/1DVF4106BH-, MESH, 1, /1DVF4106GL-, Extract Air Grille - Single Deflection with Damper, 300, 200, 300, 200, 10, 0, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, NA, Extruded Aluminium, No, No
