Flange Reference, Duct Reference, PDMS Duct Type, Line Number, Flange Height, Duct Length A (mm), Duct Width B (mm), Level
20442/19037/50B, 20442/19037, TAPE, /1DVF1217GL-, 50, 350, 500, 04
20442/1904/50A, 20442/1904, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/1904/50B, 20442/1904, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/1905/50A, 20442/1905, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/1905/50B, 20442/1905, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/18990/50A, 20442/18990, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/18990/50B, 20442/18990, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/18991/50A, 20442/18991, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/18991/50B, 20442/18991, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/18991/40C, 20442/18991, BRCO, /1DVF1217GL-, 40, 100, 100, 04
20442/18992/50A, 20442/18992, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/18992/50B, 20442/18992, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/1908/50A, 20442/1908, BEND, /1DVF1217GL-, 50, 500, 350, 04
20442/1908/50B, 20442/1908, BEND, /1DVF1217GL-, 50, 500, 350, 04
20442/22867/50A, 20442/22867, OFST, /1DVF1217GL-, 50, 350, 500, 04
20442/22867/50B, 20442/22867, OFST, /1DVF1217GL-, 50, 350, 500, 04
20442/1910/50A, 20442/1910, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/1910/50B, 20442/1910, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/19002/50A, 20442/19002, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/19002/50B, 20442/19002, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/1911/50A, 20442/1911, BEND, /1DVF1217GL-, 50, 350, 500, 04
20442/1911/50B, 20442/1911, BEND, /1DVF1217GL-, 50, 350, 500, 04
20442/1912/50A, 20442/1912, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/1912/50B, 20442/1912, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56043/50A, 20442/56043, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56043/50B, 20442/56043, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56045/50A, 20442/56045, BEND, /1DVF1217GL-, 50, 500, 350, 04
20442/56045/50B, 20442/56045, BEND, /1DVF1217GL-, 50, 500, 350, 04
20442/56047/50A, 20442/56047, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56047/50B, 20442/56047, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56051/50A, 20442/56051, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56051/50B, 20442/56051, STRT, /1DVF1217GL-, 50, 350, 500, 04
